,,,
physiques,acteurs,concept label,concecpt uri
ordinateurs,les créateurs de contenu,information ,
smartphones,les personnes qui lisent les posts,désinformation,
,les personnes qui likent les posts,rumeur,
,les personnes qui comment les posts,fake news,
,les agents autonomes (l'IA),propagande,
